voxelID mppcID probability
7 71 0.0004056
7 72 0.0004016
7 73 0.000408
7 74 0.0003552
7 75 0.0003848
7 76 0.0003672
7 77 0.000356
7 78 0.0003904
7 79 0.0003856
7 80 0.0003832
7 81 0.0003904
7 82 0.0003792
7 83 0.0003792
7 84 0.0003576
7 85 0.0003784
7 86 0.0003784
7 87 0.0003872
7 88 0.000388
7 89 0.0004072
7 90 0.0004072
7 91 0.000416
7 92 0.0003816
7 93 0.0004256
7 94 0.000424
7 95 0.0003928
7 96 0.0003808
7 97 0.0004336
7 98 0.0004464
7 99 0.0004416
7 100 0.0004728
7 101 0.0004552
7 102 0.0004792
7 103 0.0004712
7 104 0.0004704
7 105 0.0004888
7 106 0.0005104
7 107 0.0005208
7 108 0.0005656
7 109 0.000584
7 110 0.0005952
7 111 0.0005744
7 112 0.0006384
7 113 0.000612
7 114 0.0006576
7 115 0.0006776
7 116 0.0006568
7 117 0.0007832
7 118 0.000752
7 119 0.0007936
7 120 0.0008112
7 121 0.0007992
7 122 0.0008552
7 123 0.000892
7 124 0.0009256
7 125 0.0009136
7 126 0.0009224
7 127 0.000908
7 128 0.0009352
8 1 0.0011368
8 2 0.001128
8 3 0.0010736
8 4 0.0010552
8 5 0.0010208
8 6 0.001048
8 7 0.0010024
8 8 0.0009536
8 9 0.000932
8 10 0.0008864
8 11 0.0008432
8 12 0.0008248
8 13 0.0007584
8 14 0.000776
8 15 0.0006944
8 16 0.0006904
8 17 0.000656
8 18 0.0006072
8 19 0.0005984
8 20 0.0005968
8 21 0.000576
8 22 0.0005184
8 23 0.0005216
8 24 0.0005208
8 25 0.000456
8 26 0.000508
8 27 0.00046
8 28 0.0004696
8 29 0.0003928
8 30 0.0004392
8 31 0.0004128
8 32 0.0004328
8 33 0.000424
8 34 0.0004248
8 35 0.0003776
8 36 0.0003968
8 37 0.0003776
8 38 0.0004056
8 39 0.0003712
8 40 0.0003648
8 41 0.0003752
8 42 0.0004032
8 43 0.0003656
8 44 0.0003896
8 45 0.0003688
8 46 0.000388
8 47 0.0003392
8 48 0.000388
8 49 0.0003944
8 50 0.0003608
